fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24
-3.1939907,-0.5542994,0.34671122,-0.3810849,-0.18945171,-0.5785737,-0.6815548,-0.012540767,-0.6380566,0.6283828,0.37348485,0.62336856,0.18499507,-0.78340673,-0.08927957,-0.79544765,0.5034642,0.03934312,-0.14906485,0.8318438,-0.17388082,-0.7234468,-0.41567138,-0.3176384,0.08363916,-0.6021186
-2.683281,-0.032122947,-0.723039,0.35136637,-0.5639182,0.35297912,-0.34958297,0.7604375,-0.14385846,-0.53101736,0.16209409,-0.6933962,-0.85129493,0.9453677,-0.73028207,0.4863716,0.15512097,0.8328437,-0.18235305,0.3259301,-0.3362097,0.057985425,0.23928863,0.74021703,0.14319117,-0.12149787
-7.784888,-0.32576632,0.28557342,-0.3950601,0.6429627,-0.78103805,-0.071611285,0.06321947,-0.15761997,0.38156053,0.98278314,0.12395984,-0.957978,-0.831519,0.42522445,0.4380429,0.52024895,0.65672207,-0.36212063,0.54908335,0.7963066,-0.70896226,0.71751153,0.047888756,-0.7460942,-0.22982484
-0.4603311,-0.40403816,-0.17777155,-0.5941855,-0.64011186,0.06860932,-0.62161714,0.12393165,0.71935046,-0.5037125,-0.52400255,-0.478136,-0.23593152,-0.48260087,-0.9050042,0.8378188,-0.31640878,0.99692255,-0.8790532,-0.38478205,0.06343711,-0.3148993,-0.44867003,-0.57716995,-0.27946773,0.27900958
-0.9594064,-0.8591114,0.40160415,6.716623E-4,-0.14607081,0.107601695,-0.5247157,0.110639855,-0.4051642,0.5016893,-0.6594934,-0.14833727,0.06742757,-0.9725863,0.56067586,-0.31396115,0.34510648,-0.47820663,-0.5684826,-0.0081288805,-0.8822549,-0.27702647,-0.44041592,-0.049514502,0.6380959,0.44515666
-1.9554048,-0.2381735,0.30555883,0.41920596,0.586619,0.17334475,0.09350013,-0.14738965,0.2728808,-0.40532756,-0.8567032,0.06684477,-0.10221648,-0.23065913,0.41918856,-0.3131919,0.27570313,-0.7399852,-0.7248462,-0.18117918,-0.41354892,-0.90149,0.10691147,-0.054786503,-0.97271615,-0.45474777
-2.2209644,-0.42679068,0.16030188,-0.9125535,-0.214783,-0.9718536,-0.12574942,0.21090211,0.0059865713,-0.71040434,-0.37094495,-0.25761276,0.35363427,0.61951536,0.5124103,0.07899471,0.22642145,0.49211875,-0.4251313,-0.25848526,0.70786715,-0.39023066,0.14934531,0.0868739,-0.044780716,-0.65573084
-3.803346,-0.11321235,-0.19114637,0.24588063,0.108516,0.14816286,0.82552963,0.21563075,-0.66145664,-0.5821212,0.68765616,-0.27976215,0.12271892,0.17968221,-0.7544006,0.71993697,-0.14818138,0.7939511,0.010125723,-0.7790523,-0.68854266,-0.15829928,-0.33331886,-0.6544342,-0.11428439,-0.81887186
-2.8785532,0.42774823,0.40390474,0.5373071,-0.1761364,0.18705463,0.6362349,-0.63643885,0.5261214,-0.022349715,0.8560902,-0.1447208,-0.049928136,0.4134546,0.060058728,-0.55093884,-0.30333567,0.60237586,0.9240016,0.28107718,0.015298004,0.16838664,-0.5390679,0.41283002,0.08478074,-0.6226732
-3.357494,-0.43942407,-0.12683666,-0.034881473,-0.53120434,-0.2027069,-0.07216489,-0.3261294,0.742265,0.15484363,-0.7842971,-0.19950426,-0.17314018,-0.024094274,0.7535431,0.054873638,0.24248517,-0.018099247,0.68174434,-0.37983263,-0.39407736,0.4482928,0.2247757,0.67749345,-0.41543075,0.030645296
